gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
RPL35AP2,0.002464606959986593,-0.0008882963401058544,0.00339743850863061,-0.0020662680118373397,0.00018045484270886905,Trajectory-2,0.0,236.0
RPL36A-HNRNPH2,0.0034255480290205586,-0.001011904465414896,0.0034517357109287963,-0.000777985452890872,-0.0002478424813935007,Trajectory-2,0.0,224.0
RPL36AP37,0.004298445500033261,-0.0018992492989624023,0.0073310294089109235,-0.005083184330159576,0.000418214808105892,Trajectory-2,0.0,266.0
RPL37P14,0.0006410403990283552,5.0738104948952196e-06,0.0008532921186596975,-0.0008801449517262722,0.0007682345286861969,Trajectory-1,96.0,0.0
RPL39P17,0.001484740512183403,-0.00025206043040209723,0.0008264263978604283,-0.00023076973431826773,7.785832955824755e-05,Trajectory-2,0.0,184.0
RPL3P4,0.0008536088024103049,0.00016582643515308484,-0.0004731899077308585,5.0470265072937913e-05,0.00027070854557582593,Trajectory-1,38.0,0.0
RPL3P5,0.0030557471872075135,-0.001195826027173716,0.004776737564594279,-0.003374367918508766,0.00046602800717124554,Trajectory-2,0.0,249.0
RPL41P2,0.001133883369301529,0.00033855829269464064,-0.0017435366773216787,0.0011096422043141189,-2.135617043309892e-05,Trajectory-2,0.0,35.0
RPL6P27,0.0030826150463412337,-0.0007380342030213403,0.002269517952283928,0.00012878437092148033,-0.0003247386925652533,Trajectory-2,0.0,200.0
RPL7AP42,0.003993990305065668,-0.0018167245146335678,0.007245621468019022,-0.005733920550541141,0.0009899051960567521,Trajectory-2,0.0,268.0
RPL7P9,0.001677516197179718,0.00010764365289817012,-0.0009684652034715183,0.0015172054230835601,3.015465126190569e-05,Trajectory-2,0.0,67.0
RPL9P7,0.002426807749298566,-0.0004783810669214018,0.001458950853561145,8.020243266385524e-06,-0.00015825692688008837,Trajectory-2,0.0,190.0
RPS10-NUDT3,0.003012059317347019,-0.0005488572031092846,0.001261245312665038,0.0017898507436778753,-0.0008616195455743508,Trajectory-2,0.0,158.0
RPS10P7,0.0025463668950949426,-0.0004948470313248571,0.0013921977610008606,0.000205029486192525,6.487903038176344e-05,Trajectory-2,0.0,186.0
RPS15AP1,0.0010821305260524936,0.0003241677782173958,-0.001635955492440679,0.0010937935450278,9.312072295262432e-05,Trajectory-2,0.0,43.0
RPS18_2,0.002527897091759942,-0.00022927271799699436,-3.105538864778762e-05,0.002388472401653752,-0.0007187953675992031,Trajectory-2,0.0,93.0
RPS18_3,0.0026766988135186885,-0.00032407405246852945,0.00034808684699081695,0.0022598204661139474,-0.0007922866321030933,Trajectory-2,0.0,115.0
RPS19P1,0.0005098825477689445,0.000387020832778374,-0.0016083862421993984,0.00032123942342722424,0.00032956077234817663,Trajectory-1,20.0,0.0
RPS26P47,0.0023728102067818307,-0.00022407973433630053,0.00010532372615333544,0.0017162861035876832,-0.0003007285719075932,Trajectory-2,0.0,123.0
RPS26P58,0.0028592756566867537,-0.0006098748512904674,0.001861207860537838,0.0002174564348476855,-0.0003280007646539594,Trajectory-2,0.0,194.0
RPS27P4,-0.00034552177054533696,0.0003114998361020959,-0.001648501043754775,-0.00021778549092508798,0.00035109006782790787,Trajectory-1,51.0,0.0
RPS27P8,0.0017346844026263685,5.8581794355445314e-05,-0.0009496520471942906,0.0015946434154690025,-0.00010211500846954074,Trajectory-2,0.0,71.0
RPS3AP26,0.0017923173320718365,0.00014152318678541906,-0.0014293859744761042,0.0022349150812472993,-0.00027306493985065195,Trajectory-2,0.0,21.0
RPS3AP6,0.00053518005758804,0.000525988001929271,-0.002482432987344273,0.0008412760979910527,0.0002231713857368026,Trajectory-2,0.0,8.0
RPS8P5,0.0011249166136282928,-0.00021709145463951417,0.00185336872126434,-0.001306897144663995,0.00038035092561511906,Trajectory-1,103.0,0.0
RPS9_3,0.002884499800434731,-0.00046737880995886816,0.0009389957138718332,0.0019494911531954637,-0.0008316035722515596,Trajectory-2,0.0,150.0
RPS9_4,0.0031787195562468073,-0.0006794886534454226,0.0017956709316027163,0.0014055985000806452,-0.0008441364799336082,Trajectory-2,0.0,174.0
RSPO3,-0.01228837506354709,-0.004289183967074649,0.0010125359807916772,-0.0016328264980630827,0.00099736014575927,Trajectory-1,197.0,0.0
RUNX1,0.0026135070605973186,-0.00029607445848634433,0.00028844355522410724,0.0020362656240879924,-0.0007681678860481969,Trajectory-2,0.0,121.0
RUNX2,0.0014691149786251222,-9.290776291100238e-05,0.00039619046835011936,-1.9930695463790337e-05,6.175608086267599e-06,Trajectory-2,0.0,165.0
